year,term,session,question,kind,booklet,sourcePdf,sourcePages,pageCount,points,marksText,calculatorPolicy,answer,learningOutcome,learningOutcomeSource,mgSourcePdf,mgSourcePages,diagnostics,preview
2013,jan,January 2013,11,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[19],1,1.0,1 mark,no-calculator,,P1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[24],[],"Question 11 1 mark 111 A school offers 4 different Science courses, 3 different Mathematics courses, and 2 different English courses. Julie must select 1 Science course, 1 Mathematics course, and 1 English course. She thinks this creates 9 options for her timetable. Show why Julie is incorrect. "
2013,jan,January 2013,12,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[19],1,1.0,1 mark,no-calculator,,P4,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[25],[],Question 12 1 mark 112 Explain how Pascal’s triangle can be used to determine the coefficients in the binomial expansion of ( ) . n x y +
2013,jan,January 2013,13,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[20],1,3.0,3 marks,no-calculator,,T6,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,"[26, 27]",[],Question 13 3 marks 113 Prove the identity below for all permissible values of x: 1 cos 2 cot sin 2 x x x + = Left-Hand Side Right-Hand Side
2013,jan,January 2013,14,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[21],1,2.0,2 marks,no-calculator,,T3,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[28],[],"Question 14 2 marks 114 Your classmate, Leo, was absent for one of his math lessons. Explain to Leo how to determine the cosecant ratio for an angle in standard position given that ( ) P 3, 4 − − is a point on the terminal arm of the angle."
2013,jan,January 2013,15,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb1.pdf,[22],1,2.0,2 marks,no-calculator,,R1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[29],[],Question 15 2 marks 115 Given the following graphs: Sketch the graph of ( ) ( ). f x g x + 1 1 ( ) g x ( ) f x 1 1 1 y y x x y x 1
2013,jan,January 2013,16,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[5],1,1.0,1 mark,no-calculator,D,R3,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[33],[],"Question 16 1 mark If ( ) 2, 3 is a point on the graph of ( ) y f x = , what point must be on the graph of 1 3 ? 4 y f x   =     a) 1 , 1 2       b) 1 , 9 2       c) ( ) 8, 1 d) ( ) 8, 9 "
2013,jan,January 2013,17,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[5],1,1.0,1 mark,no-calculator,D,T1,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[33],[],Question 17 1 mark Consider the arc drawn on each circle. Which arc measure is closest to 3 radians? a) b) c) d) 
2013,jan,January 2013,18,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[5],1,1.0,1 mark,no-calculator,A,R7,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[33],[],"Question 18 1 mark If 2 log 4 x = , then ( ) 2 log 2x is equal to: a) 5 b) 8 c) 16 d) 32"
2013,jan,January 2013,19,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[6],1,1.0,1 mark,no-calculator,C,T6,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[34],[],Question 19 1 mark Simplify the following expression: ( ) 2 2 cos 1 cot x x + a) 2 sin x b) 2 cos x c) 2 cot x d) 2 sec x 
2013,jan,January 2013,20,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[6],1,1.0,1 mark,no-calculator,C,R14,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[34],[],Question 20 1 mark Identify the graph of the function . x y x = a) b) c) d) 2 2 y x 2 2 y x y x 2 2 2 2 y x
2013,jan,January 2013,21,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[7],1,1.0,1 mark,no-calculator,D,P4,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[35],[],Question 21 1 mark How many terms are in the expansion of ( ) 7 2 3 4 ? y z − a) 2 b) 6 c) 7 d) 8 
2013,jan,January 2013,22,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[7],1,1.0,1 mark,no-calculator,A,R6,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[35],[],Question 22 1 mark Determine one possible restriction for the domain of ( )2 3 4 y x = + − so that its inverse is a function. a) 3 x ≤− b) 0 x ≤ c) 3 x ≤ d) 4 x ≤ 
2013,jan,January 2013,23,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[7],1,1.0,1 mark,no-calculator,B,P2,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[35],[],Question 23 1 mark Find the total possible number of arrangements for 7 adults and 3 children seated in a row if the 3 children must sit together. a) 10! b) 8!3! c) 7!3! d) 7! 
2013,jan,January 2013,24,mcq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[7],1,1.0,1 mark,no-calculator,D,R9,answer-key,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[35],[],Question 24 1 mark Identify the value of the x-intercept of the function ( ) ln 2 . y x = − a) 1 − b) 0 c) 2 d) 3
2013,jan,January 2013,25,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[8],1,1.0,1 mark,no-calculator,,R7,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[36],[],"Question 25 1 mark 116 Given log 3 b a = , give one example of possible values for a and b that make this equation true. "
2013,jan,January 2013,26,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[8],1,1.0,1 mark,no-calculator,,R5,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[36],[],"Question 26 1 mark 117 The range of the graph of ( ) [ ] is 3, 2 . y f x = − Explain why there is no effect on the range of the graph that is a result of the transformation ( ). y f x = −"
2013,jan,January 2013,27,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[9],1,3.0,3 marks,no-calculator,,R12,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[37],[],Question 27 3 marks 118 Sketch the graph of ( )( ) ( ) 2 1 2 5 . y x x x = + − + Identify the x-intercepts and y-intercept. x-intercepts: y-intercept: y x
2013,jan,January 2013,28,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[10],1,2.0,2 marks,no-calculator,,T4,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[38],[],"Question 28 2 marks 119 The graph of the function sin y x = has been transformed to create a new graph. The range of this new graph is [ ] 4, 4 − and the zeros are 2 x k π = , where k is an integer. Write the equation that corresponds to this new graph. "
2013,jan,January 2013,29,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[10],1,1.0,1 mark,no-calculator,,R1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[38],[],"Question 29 1 mark 120 Given the functions ( ) 2 1 f x x = − and ( ) 1 g x x = + , state the domain of ( ) ( ) . g x f x"
2013,jan,January 2013,30,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[11],1,3.0,a) 2 marks; b) 1 mark,no-calculator,,R9,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[39],[],Question 30 a) 2 marks b) 1 mark 121 122 a) Sketch the graph of 3 .x y = b) Explain how the graph of 3x y = can be used to sketch the graph of 3 log . y x = 1 1 y x
2013,jan,January 2013,31,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[12],1,5.0,5 marks,no-calculator,,"R11, R12",marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[40],[],"Question 31 5 marks 123 A box in the shape of a rectangular prism has side lengths , 2, and 10. x x x + + Write a function, ( ) V x , to express the volume of the box in terms of x. Find all possible values of x, given that the volume of the box is 3 96 cm . State the dimensions of the box."
2013,jan,January 2013,32,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[13],1,1.0,1 mark,no-calculator,,R5,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[41],[],"Question 32 1 mark 124 Given the graph of ( ) f x below, sketch the graph of ( ). y f x = − "
2013,jan,January 2013,33,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[13],1,1.0,1 mark,no-calculator,,T2,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[41],[],"Question 33 1 mark 125 Determine the coordinates of a point ( ) ,x y on the unit circle if you are given 30 θ =  where θ is in standard position. y 1 x 1 y 1 x 1 The graph of ( ) f x has already been drawn for your reference. No marks will be awarded for the graph of ( ) f x ."
2013,jan,January 2013,34,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[14],1,3.0,3 marks,no-calculator,,T4,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,"[42, 43]",[],Question 34 3 marks 126 Given the following sinusoidal equation: ( ) ( ) P 3000sin 2010 10 000 10 t t π   = − +     Determine the maximum value of ( ) P t and a value of t at which this maximum occurs. Maximum value of ( ) P : t Value of t :
2013,jan,January 2013,35,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[15],1,3.0,3 marks,no-calculator,,R13,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,"[44, 45]",[],Question 35 3 marks 127 Sketch the graph of 2 2. y x = − x 1 1 y
2013,jan,January 2013,36,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[16],1,2.0,2 marks,no-calculator,,R6,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[46],[],"Question 36 2 marks 128 Given ( ) 2 6 f x x = − , write the equation of ( ) 1 . f x − "
2013,jan,January 2013,37,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[16],1,1.0,1 mark,no-calculator,,R8,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[46],[],Question 37 1 mark 129 Frank tried to expand a logarithmic expression using the laws of logarithms. He made one error. Frank's solution: ( ) 2 log log log 2 log log a a a a a x x z w zw + = + − − Write the correct solution.
2013,jan,January 2013,38,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[17],1,3.0,3 marks,no-calculator,,T6,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[47],[],"Question 38 3 marks 130 Determine all non-permissible values of θ over the interval [ ] 0, 2 . π sin csc cot 1 cos θ θ θ θ + + + Explain your reasoning."
2013,jan,January 2013,39,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[18],1,3.0,a) 1 mark; b) 1 mark; c) 1 mark,no-calculator,,R1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[48],[],Question 39 a) 1 mark b) 1 mark c) 1 mark 131 132 133 Given the following graphs: a) Determine the value of [ ]( ) 0 . f g  b) Determine the value of ( ) ( ) 4 . g f c) Determine a value for k where ( ) 1. f k = ( ) f x ( ) g x 1 x x 1 1 1 y y
2013,jan,January 2013,40,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[19],1,1.0,1 mark,no-calculator,,R1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[49],[],"Question 40 1 mark 134 Given that ( ) 2 2 5 3 h x x x = + − and that ( ) ( ) ( ) h x f x g x =  , determine ( ) f x and ( ). g x "
2013,jan,January 2013,41,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[19],1,1.0,1 mark,no-calculator,,T5,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[49],[],"Question 41 1 mark 135 The graph of 2cos 1 y θ = + below can be used to solve the equation 1 cos 2 θ = − over the interval [ ] 2 , 2 . −π π Indicate on the graph where to find the solutions to the equation 1 cos . 2 θ = − 2cos 1 y θ = + 1 2 −π −π π 2π θ y  "
2013,jan,January 2013,42,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[20],1,1.0,1 mark,no-calculator,,R1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[50],[],"Question 42 1 mark 136 The function ( ) f x is transformed. A new function, 1 ( ) y f x = , is created that does not have any vertical asymptotes. What can you conclude about the original function ( )? f x "
2013,jan,January 2013,43,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[20],1,1.0,1 mark,no-calculator,,T1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[50],[],Question 43 1 mark 137 Draw the angle 7 8 π − in standard position. x y
2013,jan,January 2013,44,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[21],1,3.0,3 marks,no-calculator,,"T3, T6",marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,"[51, 52]",[],Question 44 3 marks 138 Determine the exact value of: 11 4cos 12 π      
2013,jan,January 2013,45,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[22],1,3.0,3 marks,no-calculator,,R14,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[53],[],Question 45 3 marks 139 Sketch the graph of ( ) 2 4 . 3 4 x f x x x − = − − y x 1 1
2013,jan,January 2013,46,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[23],1,1.0,1 mark,no-calculator,,R7,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[54],[],Question 46 1 mark 140 Estimate the value of 5 log 35. Justify your answer. 
2013,jan,January 2013,47,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[23],1,1.0,1 mark,no-calculator,,R11,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[54],[],"Question 47 1 mark 141 If ( ) 5 12 1 p x x x = − + , determine the remainder when ( ) p x is divided by ( ) 2 . x +"
2013,jan,January 2013,48,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[24],1,1.0,1 mark,no-calculator,,R2,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[55],[],Question 48 1 mark 142 Describe the effects on the graph of ( ) y f x = when asked for the graph of ( ) 3 5. y f x = − + 
2013,jan,January 2013,49,frq,2,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jan_sb2.pdf,[24],1,3.0,3 marks,no-calculator,,T3,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jan_mg.pdf,[56],[],Question 49 3 marks 143 Find the exact value of the following expression: 11 4 5 sin sec tan 3 3 6 π π π       −              
2013,jun,June 2013,1,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[11],1,2.0,2 marks,calculator-active,,T1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,[12],[],"Question 1 2 marks 101 A central angle of a circle subtends an arc length of 5π cm. Given the circle has a radius of 9 cm, find the measure of the central angle in degrees."
2013,jun,June 2013,2,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[12],1,4.0,4 marks,calculator-active,,"T3, T5",marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,"[13, 14]",[],"Question 2 4 marks 102 Solve the equation 2 csc 3csc 4 0 θ θ + − = over the interval [ ] 0, 2 . π Express your answers as exact values or correct to 3 decimal places."
2013,jun,June 2013,3,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[13],1,3.0,3 marks,calculator-active,,R10,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,"[15, 16]",[],"Question 3 3 marks 103 Jess invests $12 000 at a rate of 4.75% compounded monthly. How long will it take for Jess to triple her investment? Express your answer in years, correct to 3 decimal places."
2013,jun,June 2013,4,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[14],1,3.0,3 marks,calculator-active,,P4,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,[17],[],Question 4 3 marks 104 The 4th term in the binomial expansion of 10 2 3 qx x   −     is 11 414 720 . x Determine the value of q algebraically. Note: A calculator is not required for the remaining test questions.
2013,jun,June 2013,5,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[15],1,1.0,1 mark,no-calculator,,P1,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,[18],[],"Question 5 1 mark 105 Bella has 2 pairs of shoes, 3 pairs of pants, and 10 shirts. Carey has 4 pairs of shoes, 4 pairs of pants, and 4 shirts. An outfit is made up of one pair of shoes, one pair of pants, and one shirt. Who can make more outfits? Justify your answer. "
2013,jun,June 2013,6,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[15],1,2.0,2 marks,no-calculator,,P4,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,[18],[],"Question 6 2 marks 106 In the binomial expansion of ( )10 , x y − how many terms will be positive? Justify your answer."
2013,jun,June 2013,7,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[16],1,4.0,4 marks,no-calculator,,"T3, T5, T6",marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,[19],[],Question 7 4 marks 107 Solve the following equation algebraically where 180 360 . ≤ ≤ θ   2 2sin 5cos 1 0 θ θ + + =
2013,jun,June 2013,8,frq,1,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/student-booklets/pc_13_jun_sb1.pdf,[17],1,3.0,3 marks,no-calculator,,R10,marking-guide-heading,/home/max/testgen-suite/ocr-frq/mb-exams/source-pdfs/marking-guides/pc_13_jun_mg.pdf,[20],[],Question 8 3 marks 108 Solve the following equation algebraically: ( ) ( ) 3 3 log 4 log 2 1 x x − + − = 
