year,term,session,question,answer,learningOutcome
2024,jan,January 2024,21,A,R7
2024,jan,January 2024,22,B,P3
2024,jan,January 2024,23,B,R1
2025,jan,January 2025,17,B,R2
2025,jan,January 2025,18,A,T3
2025,jan,January 2025,19,D,R7
2025,jan,January 2025,20,A,T3
2025,jan,January 2025,21,B,P4
2025,jan,January 2025,22,D,T5
2025,jan,January 2025,23,C,R12
2025,jan,January 2025,24,D,T6
2025,jan,January 2025,25,B,R1
2026,jan,January 2026,18,C,T2
2026,jan,January 2026,19,D,R1
2026,jan,January 2026,20,C,R3
2026,jan,January 2026,21,A,R12
2026,jan,January 2026,22,B,T5
2026,jan,January 2026,23,B,R13
2026,jan,January 2026,24,D,P3
2026,jan,January 2026,25,A,R11
2013,jun,June 2013,17,C,P2
2013,jun,June 2013,18,B,T1
2013,jun,June 2013,19,A,P4
2013,jun,June 2013,20,A,T4
2013,jun,June 2013,21,D,T5
2013,jun,June 2013,22,D,R4
2013,jun,June 2013,23,B,R9
2013,jun,June 2013,24,C,R12
2014,jun,June 2014,20,C,R1
2014,jun,June 2014,21,A,R8
2014,jun,June 2014,22,B,R2
2014,jun,June 2014,23,D,R13
2014,jun,June 2014,24,A,R14
2014,jun,June 2014,25,C,T5
2014,jun,June 2014,26,A,T4
2014,jun,June 2014,27,B,R7
2014,jun,June 2014,28,D,R12
2014,jun,June 2014,29,B,R5
2015,jun,June 2015,14,D,P1
2015,jun,June 2015,15,A,T2
2015,jun,June 2015,16,D,R13
2015,jun,June 2015,17,B,T4
2015,jun,June 2015,18,B,P4
2015,jun,June 2015,19,D,R12
2015,jun,June 2015,20,B,R7
2015,jun,June 2015,21,A,R4
2015,jun,June 2015,22,C,"R7, R8"
2016,jun,June 2016,15,C,R11
2016,jun,June 2016,16,B,P3
2016,jun,June 2016,17,D,R13
2016,jun,June 2016,18,B,R7
2016,jun,June 2016,19,A,T5
2016,jun,June 2016,20,B,R13
2016,jun,June 2016,21,D,R6
2016,jun,June 2016,22,C,T1
2017,jun,June 2017,18,D,R2
2017,jun,June 2017,19,B,R5
2017,jun,June 2017,20,B,R7
2017,jun,June 2017,21,C,T4
2017,jun,June 2017,22,B,R9
2017,jun,June 2017,23,D,R12
2017,jun,June 2017,24,D,T1
2017,jun,June 2017,25,C,P3
2017,jun,June 2017,26,A,R14
2017,jun,June 2017,27,"B,C,A,D",R13
2018,jun,June 2018,18,C,R13
2018,jun,June 2018,19,B,P2
2018,jun,June 2018,20,D,T3
2018,jun,June 2018,21,D,R7
2018,jun,June 2018,22,C,T4
2018,jun,June 2018,23,A,R12
2018,jun,June 2018,24,B,P4
2018,jun,June 2018,25,A,R2
2018,jun,June 2018,26,B,R11
2019,jun,June 2019,18,C,R3
2019,jun,June 2019,19,B,R8
2019,jun,June 2019,20,B,T1
2019,jun,June 2019,21,D,R6
2019,jun,June 2019,22,A,R12
2019,jun,June 2019,23,C,P4
2019,jun,June 2019,24,C,T6
2019,jun,June 2019,25,B,R2
2019,jun,June 2019,26,B,R7
2024,jun,June 2024,17,B,"R2, R6"
2024,jun,June 2024,18,C,R12
2024,jun,June 2024,19,B,T3
2024,jun,June 2024,20,A,T6
2024,jun,June 2024,21,C,R10
2024,jun,June 2024,22,D,P3
2024,jun,June 2024,23,D,P2
2024,jun,June 2024,24,B,P4
2024,jun,June 2024,25,B,R9
2025,jun,June 2025,16,B,R11
2025,jun,June 2025,17,D,R5
2025,jun,June 2025,18,B,R7
2025,jun,June 2025,19,C,R14
2025,jun,June 2025,20,C,P2
2025,jun,June 2025,21,B,R11
2025,jun,June 2025,22,D,T4
2025,jun,June 2025,23,C,R8
2025,jun,June 2025,24,A,T1
2026,jun,June 2026,16,A,T6
2026,jun,June 2026,17,C,P2
2026,jun,June 2026,18,C,R10
2026,jun,June 2026,19,D,R1
2026,jun,June 2026,20,B,R14
2026,jun,June 2026,21,D,T4
2026,jun,June 2026,22,A,R11
2026,jun,June 2026,23,A,T1
2026,jun,June 2026,24,B,R8
